DATE_SK,FULL_DATE,YEAR,MONTH,DAY
1,2022-01-01,2022,1,1
2,2022-01-02,2022,1,2
3,2022-01-03,2022,1,3
4,2022-01-04,2022,1,4
5,2022-01-05,2022,1,5
6,2022-01-06,2022,1,6
7,2022-01-07,2022,1,7
8,2022-01-08,2022,1,8
9,2022-01-09,2022,1,9
10,2022-01-10,2022,1,10
11,2022-01-11,2022,1,11
12,2022-01-12,2022,1,12
13,2022-01-13,2022,1,13
14,2022-01-14,2022,1,14
15,2022-01-15,2022,1,15
16,2022-01-16,2022,1,16
17,2022-01-17,2022,1,17
18,2022-01-18,2022,1,18
19,2022-01-19,2022,1,19
20,2022-01-20,2022,1,20
21,2022-01-21,2022,1,21
22,2022-01-22,2022,1,22
23,2022-01-23,2022,1,23
24,2022-01-24,2022,1,24
25,2022-01-25,2022,1,25
26,2022-01-26,2022,1,26
27,2022-01-27,2022,1,27
28,2022-01-28,2022,1,28
29,2022-01-29,2022,1,29
30,2022-01-30,2022,1,30
31,2022-01-31,2022,1,31
32,2022-02-01,2022,2,1
33,2022-02-02,2022,2,2
34,2022-02-03,2022,2,3
35,2022-02-04,2022,2,4
36,2022-02-05,2022,2,5
37,2022-02-06,2022,2,6
38,2022-02-07,2022,2,7
39,2022-02-08,2022,2,8
40,2022-02-09,2022,2,9
41,2022-02-10,2022,2,10
42,2022-02-11,2022,2,11
43,2022-02-12,2022,2,12
44,2022-02-13,2022,2,13
45,2022-02-14,2022,2,14
46,2022-02-15,2022,2,15
47,2022-02-16,2022,2,16
48,2022-02-17,2022,2,17
49,2022-02-18,2022,2,18
50,2022-02-19,2022,2,19
51,2022-02-20,2022,2,20
52,2022-02-21,2022,2,21
53,2022-02-22,2022,2,22
54,2022-02-23,2022,2,23
55,2022-02-24,2022,2,24
56,2022-02-25,2022,2,25
57,2022-02-26,2022,2,26
58,2022-02-27,2022,2,27
59,2022-02-28,2022,2,28
60,2022-03-01,2022,3,1
61,2022-03-02,2022,3,2
62,2022-03-03,2022,3,3
63,2022-03-04,2022,3,4
64,2022-03-05,2022,3,5
65,2022-03-06,2022,3,6
66,2022-03-07,2022,3,7
67,2022-03-08,2022,3,8
68,2022-03-09,2022,3,9
69,2022-03-10,2022,3,10
70,2022-03-11,2022,3,11
71,2022-03-12,2022,3,12
72,2022-03-13,2022,3,13
73,2022-03-14,2022,3,14
74,2022-03-15,2022,3,15
75,2022-03-16,2022,3,16
76,2022-03-17,2022,3,17
77,2022-03-18,2022,3,18
78,2022-03-19,2022,3,19
79,2022-03-20,2022,3,20
80,2022-03-21,2022,3,21
81,2022-03-22,2022,3,22
82,2022-03-23,2022,3,23
83,2022-03-24,2022,3,24
84,2022-03-25,2022,3,25
85,2022-03-26,2022,3,26
86,2022-03-27,2022,3,27
87,2022-03-28,2022,3,28
88,2022-03-29,2022,3,29
89,2022-03-30,2022,3,30
90,2022-03-31,2022,3,31
91,2022-04-01,2022,4,1
92,2022-04-02,2022,4,2
93,2022-04-03,2022,4,3
94,2022-04-04,2022,4,4
95,2022-04-05,2022,4,5
96,2022-04-06,2022,4,6
97,2022-04-07,2022,4,7
98,2022-04-08,2022,4,8
99,2022-04-09,2022,4,9
100,2022-04-10,2022,4,10
101,2022-04-11,2022,4,11
102,2022-04-12,2022,4,12
103,2022-04-13,2022,4,13
104,2022-04-14,2022,4,14
105,2022-04-15,2022,4,15
106,2022-04-16,2022,4,16
107,2022-04-17,2022,4,17
108,2022-04-18,2022,4,18
109,2022-04-19,2022,4,19
110,2022-04-20,2022,4,20
111,2022-04-21,2022,4,21
112,2022-04-22,2022,4,22
113,2022-04-23,2022,4,23
114,2022-04-24,2022,4,24
115,2022-04-25,2022,4,25
116,2022-04-26,2022,4,26
117,2022-04-27,2022,4,27
118,2022-04-28,2022,4,28
119,2022-04-29,2022,4,29
120,2022-04-30,2022,4,30
121,2022-05-01,2022,5,1
122,2022-05-02,2022,5,2
123,2022-05-03,2022,5,3
124,2022-05-04,2022,5,4
125,2022-05-05,2022,5,5
126,2022-05-06,2022,5,6
127,2022-05-07,2022,5,7
128,2022-05-08,2022,5,8
129,2022-05-09,2022,5,9
130,2022-05-10,2022,5,10
131,2022-05-11,2022,5,11
132,2022-05-12,2022,5,12
133,2022-05-13,2022,5,13
134,2022-05-14,2022,5,14
135,2022-05-15,2022,5,15
136,2022-05-16,2022,5,16
137,2022-05-17,2022,5,17
138,2022-05-18,2022,5,18
139,2022-05-19,2022,5,19
140,2022-05-20,2022,5,20
141,2022-05-21,2022,5,21
142,2022-05-22,2022,5,22
143,2022-05-23,2022,5,23
144,2022-05-24,2022,5,24
